"ИД";"Ссылка";"Картинка"
"1260";"/katalog_tovarov1/aksessuary/sushki_dlya_posudy/365050_sushilka_dlya_posudy_universalnaya_metallicheskaya_55_mest/";"/images/imgulab/135x135/3-650-50.jpg"
"1278";"/katalog_tovarov1/aksessuary/kolcoutyazhelitel/630056_kolcoutyazhilitel_045_kg_56_mm_dlya_kolb_2501000_ml/";"/images/imgulab/135x135/6-300-56.jpg"
"1270";"/katalog_tovarov1/aksessuary/zazhimy/520025_zazhim_gofmana_do_25_mm/";"/images/imgulab/135x135/5-200-25.jpg"
"1283";"/katalog_tovarov1/aksessuary/grusha_dlya_pipetok/621020_grusha_dlya_pipetok_trehklapannaya/";"/images/imgulab/135x135/6-210-20.jpg"
"1262";"/katalog_tovarov1/aksessuary/stoliki_podemnye/4450150_stolik_podemnyj_150150_mm/";"/images/imgulab/135x135/4-450-150-200.jpg"
"1263";"/katalog_tovarov1/aksessuary/stoliki_podemnye/4450200_stolik_podemnyj_200200_mm/";"/images/imgulab/135x135/4-450-150-200.jpg"
"1265";"/katalog_tovarov1/aksessuary/stoliki_podemnye/4450245_stolik_podemnyj_pe2420_so_shtativom_180245_mm/";"/images/imgulab/135x135/4-450-245.jpg"
"19930";"/katalog_tovarov1/aksessuary/stoliki_podemnye/4450250_stolik_podemnyj_260260_mm/";
"15032";"/katalog_tovarov1/aksessuary/wipcy_tigelnye/620530_wipcy_dlya_kolb/";"/images/imgulab/aksessuar/135x135/6-205-30s.jpg"
"1272";"/katalog_tovarov1/aksessuary/wipcy_tigelnye/6600150_wipcy_tigelnye_150_mm/";"/images/imgulab/135x135/6-600-150-450.jpg"
"1273";"/katalog_tovarov1/aksessuary/wipcy_tigelnye/6600450_wipcy_tigelnye_450_mm/";"/images/imgulab/135x135/6-600-150-450.jpg"
"19931";"/katalog_tovarov1/aksessuary/wipcy_tigelnye/6600600_wipcy_tigelnye_600_mm/";
"1275";"/katalog_tovarov1/aksessuary/pincety/6210125_pincet_l125_mm/";"/images/imgulab/135x135/6-210-125.jpg"
"1276";"/katalog_tovarov1/aksessuary/pincety/6212120_pincet_l120_mm/";"/images/imgulab/135x135/6-212-120.jpg"
"1280";"/katalog_tovarov1/aksessuary/shpatellozhechki/6120175_shpatellozhechka_l175_mm/";"/images/imgulab/135x135/6-120-175-200.jpg"
"1281";"/katalog_tovarov1/aksessuary/shpatellozhechki/6120200_shpatellozhechka_l200_mm/";"/images/imgulab/135x135/6-120-175-200.jpg"
"1250";"/katalog_tovarov1/aksessuary/shtativy/227004_shtativ_laboratornyj_pe2700/";"/images/imgulab/135x135/2-2700-4.jpg"
